ROI Label,ROI Name,R,A,S,Label Name,Network Name,Full Component Name
146,17Networks_RH_SalVentAttnA_FrOper_1,44,6,4,17Networks_RH_SalVentAttnA_FrOper,salience / ventral attention A,frontal operculum 
147,17Networks_RH_SalVentAttnA_FrMed_1,8,10,42,17Networks_RH_SalVentAttnA_FrMed,salience / ventral attention A,frontal medial
148,17Networks_RH_SalVentAttnA_ParMed_1,10,-16,42,17Networks_RH_SalVentAttnA_ParMed,salience / ventral attention A,parietal medial
149,17Networks_RH_SalVentAttnA_ParMed_2,10,-36,46,17Networks_RH_SalVentAttnA_ParMed,salience / ventral attention A,parietal medial
150,17Networks_RH_SalVentAttnA_FrMed_2,8,4,66,17Networks_RH_SalVentAttnA_FrMed,salience / ventral attention A,frontal medial
151,17Networks_RH_SalVentAttnB_IPL_1,62,-38,36,17Networks_RH_SalVentAttnB_IPL,salience / ventral attention B,inferior parietal lobule
152,17Networks_RH_SalVentAttnB_PFClv_1,44,44,10,17Networks_RH_SalVentAttnB_PFClv,salience / ventral attention B,lateral ventral prefrontal cortex
153,17Networks_RH_SalVentAttnB_PFCl_1,30,48,28,17Networks_RH_SalVentAttnB_PFCl,salience / ventral attention B,lateral prefrontal cortex
154,17Networks_RH_SalVentAttnB_Ins_1,34,22,-8,17Networks_RH_SalVentAttnB_Ins,salience / ventral attention B,insula
155,17Networks_RH_SalVentAttnB_Ins_2,36,24,4,17Networks_RH_SalVentAttnB_Ins,salience / ventral attention B,insula
156,17Networks_RH_SalVentAttnB_PFCmp_1,8,30,28,17Networks_RH_SalVentAttnB_PFCmp,salience / ventral attention B,medial posterior prefrontal cortex
157,17Networks_RH_LimbicB_OFC_1,12,38,-22,17Networks_RH_LimbicB_OFC,limbic B,orbital frontal cortex
158,17Networks_RH_LimbicB_OFC_2,28,22,-20,17Networks_RH_LimbicB_OFC,limbic B,orbital frontal cortex
159,17Networks_RH_LimbicB_OFC_3,4,36,-14,17Networks_RH_LimbicB_OFC,limbic B,orbital frontal cortex
160,17Networks_RH_LimbicB_OFC_4,14,64,-8,17Networks_RH_LimbicB_OFC,limbic B,orbital frontal cortex
161,17Networks_RH_LimbicA_TempPole_1,30,8,-38,17Networks_RH_LimbicA_TempPole,limbic A,temporal pole
162,17Networks_RH_LimbicA_TempPole_2,46,-12,-34,17Networks_RH_LimbicA_TempPole,limbic A,temporal pole
163,17Networks_RH_LimbicA_TempPole_3,26,-10,-32,17Networks_RH_LimbicA_TempPole,limbic A,temporal pole
164,17Networks_RH_LimbicA_TempPole_4,38,-34,-24,17Networks_RH_LimbicA_TempPole,limbic A,temporal pole
165,17Networks_RH_ContA_IPS_1,38,-62,48,17Networks_RH_ContA_IPS,control A,intraparietal sulcus
166,17Networks_RH_ContA_IPS_2,46,-38,50,17Networks_RH_ContA_IPS,control A,intraparietal sulcus
